Diagram-ID,Image-Path,Category-of-Image,Modified-Alt-Text
79,/image29.png,Waves/Fields,"An S-shaped microstrip patch antenna is shown radiating electromagnetic waves. The shape of the patch controls how currents flow along the antenna, causing charges to oscillate back and forth along the S-shaped path. This oscillating current produces a time-varying electric field, which in turn generates a time-varying magnetic field. The electric field is perpendicular to the magnetic field, and both fields change together as the wave propagates. The direction of wave propagation is perpendicular to both fields, forming a transverse electromagnetic wave. The S-shape alters the current path length and distribution, which affects the radiation pattern, resonance, and directionality of the emitted waves. This illustrates how antenna geometry directly influences electromagnetic radiation behavior."
80,/image30.png,Graphs,"This contour plot illustrates a three-dimensional surface represented in a two-dimensional format, showing the relationship between two variables, 𝑥₁ and 𝑥₂. The axes are labeled 𝑥₁ (horizontal) and 𝑥₂ (vertical), each ranging from approximately −3 to 3. The plot features several contour lines in blue, green, and red, with numeric labels such as 100, 250, and 500 indicating constant function values. The contours form a convex pattern resembling a parabolic surface, suggesting a local minimum at the origin where the function value is lowest. Gradient vectors at any point would point perpendicular to the contour lines and toward this minimum, indicating the direction of steepest descent. This shows that as 𝑥₁ and 𝑥₂ approach zero, the function value decreases, a key idea in optimization that helps explain convergence toward stable solutions."
81,/image31.png,Mechanics (Forces & Motion),"The 3D contour plot illustrates a scalar field represented by the variable V, shown across the x, y, and z axes. Contour lines mark locations where V has the same value, labeled as V₁, V₂, and V₃. The gradient vector ∇V points from lower values of V toward higher values, showing the direction of the steepest increase of the variable in space. Points P, P₁, and P₂ illustrate how moving in the direction of ∇V increases V most rapidly compared to other directions. Gradient vectors are perpendicular to the contour lines, which helps determine their direction visually. Where contour lines are closer together, the gradient is steeper, meaning V changes more rapidly over distance; where they are farther apart, the change is more gradual. This way of reading the plot is especially important for electric potential in space, where ∇V indicates the direction of the strongest change in potential and helps determine the associated electric field behavior."
82,/image32.png,Waves/Fields,"The image illustrates three distinct vector field representations centered around point P, showcasing different directional behaviors. The leftmost configuration reveals a radiating pattern, where arrows emanate outward from P, indicating a source-like behavior, similar to the electric field around a positive charge where field lines flow outward. The middle arrangement presents an inward-directed flow, with arrows converging toward P, representing a sink-like behavior, analogous to a negative charge where field lines flow inward. The rightmost depiction shows parallel arrows that suggest a uniform flow, indicating constant vector magnitude and direction without variation in intensity."
83,/image33.png,Graphs,"The graph illustrates trends in functional CPU scaling over time, spanning from 2008 to 2030, with a logarithmic vertical axis labeled “Log (Functional CPU Scaling)” and a horizontal axis denoting “Year of 1st Production.” The curves show different strategies used to improve CPU performance as traditional transistor scaling slows. Design Technology Co-Optimization (DTCO) refers to improving performance by optimizing circuit design, layout, and architecture within a given technology node, while System Technology Co-Optimization (STCO) goes further by co-developing the chip together with packaging, memory, and system-level technologies. Key milestones such as 14 nm and 7 nm mark points where shrinking transistor sizes alone provided diminishing returns due to physical and economic limits. The green line highlights a shift away from relying only on smaller transistors toward design-based and system-level solutions, showing how DTCO helps recover performance gains even when scaling slows. This trend explains why performance continues to improve despite the limits of traditional Moore’s-law scaling: innovation increasingly comes from smarter design choices and system integration rather than transistor size reduction alone."
84,/image34.png,Graphs,"The chart shows how semiconductor manufacturing has evolved from 1970 to 2020 by tracking node size, wafer size, and de-magnification ratios. Over time, node sizes steadily decrease, meaning transistors become smaller, faster, and more energy-efficient, which improves chip performance while reducing power consumption. At the same time, wafer sizes increase, allowing manufacturers to produce more chips on a single wafer, which boosts production capacity and lowers cost per chip. The chart also shows increasing de-magnification ratios showing a transition from 1:1 to 4:1, which indicate how lithography systems shrink circuit patterns when printing them onto larger wafers, enabling very small features to be manufactured accurately. These trends explain how the industry continues to improve performance and efficiency by combining smaller transistors, larger wafers, and advanced patterning techniques."
85,/image35.png,Graphs,"The image consists of two graphs representing spectral irradiance over different wavelength ranges, with both displaying spectral parts labeled accordingly. The left graph illustrates the spectral irradiance in nanometers, highlighting a sharp peak around the visible spectrum (approximately 400–700 nm) while tapering off towards the ultraviolet (UV) and infrared (IR) ends. This peak occurs because the Sun emits most of its energy at visible wavelengths due to its surface temperature. The right graph features a broader spectral range, incorporating an expanded view from UV to near-infrared wavelengths, with color coding indicating different spectral regions such as UV, visible, and IR (including UVA and UVB). The dominant colors in the visible range create a vivid rainbow effect, emphasizing the intensity of solar irradiance at these wavelengths. Both graphs reveal a notable decrease in intensity beyond the visible spectrum, indicating a significant decline in spectral irradiance as it moves into the infrared and ultraviolet ranges, which has implications for understanding energy distribution and environmental impacts related to solar radiation."
86,/image36.png,Waves/Fields,"The illustration features a series of stylized diagrams that represent how waves behave as they pass through a narrow opening. The leftmost section shows waves propagating in straight, parallel lines, indicated by an arrow. As they reach a barrier with a slit in the middle, the waves pass through the opening. After passing through the slit, the waves bend outward and spread into a circular pattern. The slit acts as a secondary source of waves, emitting new wavefronts in all directions. This spreading is caused by diffraction, which occurs when waves pass through an opening comparable in size to their wavelength. The amount of spreading depends on the slit width and the wavelength: narrower slits or longer wavelengths produce more bending, while wider slits produce less. The right section illustrates this outward-radiating wave pattern, highlighting how diffraction changes wave direction and distribution after the slit."
87,/image37.png,Waves/Fields,"The diagram illustrates a lithography process, focusing on the differences between two exposure scenarios shown on the left and right sides. It consists of five key layers: the mask pattern at the top, followed by representations of the near-field and far-field light distributions, intensity at the resist, and the resulting transferred pattern. The mask pattern shows alternating regions of varying opacity. These opacity differences introduce phase shifts in the light, meaning some light waves are delayed relative to others. In the near-field and far-field regions, the light waves combine differently depending on their phase, creating areas of constructive interference, where waves add together and increase intensity, and destructive interference, where waves cancel out and reduce intensity. This behavior is shown by the solid and wavy lines, with orange and blue indicating different light fields. Phase shifting changes how the light waves overlap, sharpening intensity transitions at the resist. The green lines highlight these intensity variations at the resist layer. The transferred pattern at the bottom shows the final result, where sharper light intensity differences produce clearer, more accurate features in the resist. Overall, the diagram demonstrates how controlling phase through mask design improves pattern definition."
88,/image38.png,Graphs,"The figure illustrates an experiment that uses an interferometer to study molecular properties. In the setup, a beam of particles or molecules is split into two paths, then recombined, producing an interference pattern that depends on the molecules’ mass and internal structure. By analyzing how the interference changes, information about the molecules can be extracted. The molecular structure shown represents one of the species passing through the interferometer. The histogram plots signal intensity versus mass, with peaks between 20,000 and 30,000 Da. Each peak corresponds to a different molecular species or structural variant, showing how individual molecules contribute to the measured data. Together, the interferometer and histogram demonstrate how interference patterns are used to distinguish and analyze molecules based on their mass and structure."
89,/image39.png,Graphs,"The image presents a scatter plot of detector counts measured over time as a function of detector position in micrometers (µm). The data form a repeating pattern of peaks and low regions across the detector range. These peaks arise from constructive interference of waves scattered by C₆₀ molecules, creating a diffraction pattern rather than random fluctuations. The strongest peak near 0 µm corresponds to the highest constructive overlap of scattered waves, while the regularly spaced side peaks result from additional interference maxima. The spacing between peaks reflects the spacing and arrangement of the molecules, allowing information about the sample’s structure to be inferred. Overall, the plot demonstrates how diffraction patterns reveal underlying molecular order through wave interference."
90,/image40.png,Graphs,"The representation showcases a scatter plot with a smooth curve fitted through the data points. The x-axis is labeled “Transverse displacement (nm)”, ranging from 0 to 1,000 nanometers, and the y-axis is marked “Norm counts,” extending up to 1.5. Blue dots indicate individual measured data points, while the black line shows a clear sinusoidal trend. This oscillating pattern arises from diffraction effects, where waves interfere constructively at some transverse positions and destructively at others. As the displacement changes, the relative phase of the waves shifts, producing alternating maxima and minima in the counts. The spacing of the peaks and valleys reveals information about the spacing or arrangement of features in the material causing the diffraction, making the pattern useful for probing underlying structure rather than just visualizing the data distribution."
91,/image41.png,Graphs,"The scatter plot shows Macroscopicity versus year from 1980 to 2020. Macroscopicity measures how large, massive, or “macroscopic” a system can be while still exhibiting quantum behavior, so higher values indicate experiments that push quantum effects to larger scales rather than simply larger physical size. Over time, the increase in Macroscopicity, especially the higher values appearing after 2000, suggests scientific progress driven by improved experimental techniques, measurement precision, and data collection methods, rather than changes in scale alone. The highlighted outlier, shown as a red diamond, represents an exceptional experiment that significantly exceeds typical results for its time, making it important because it challenges existing limits and motivates further investigation into how macroscopic quantum effects can be achieved."
92,/image42.png,Waves/Fields,"The image shows several panels illustrating how different laser beam inputs change the resulting interference patterns inside a structured medium. Changing the laser configuration alters the spatial frequency components of the light, labeled kx and kz, which determine how the waves propagate and overlap. When these waves recombine, constructive interference occurs where the waves align, creating bright regions, while destructive interference occurs where waves cancel, producing dark regions. Each panel displays a different arrangement of bright and dark features because the laser input changes the relative values of  kx and kz. Together, the patterns demonstrate how controlling the laser’s spatial frequencies directly controls the interference behavior, linking the visual structures to underlying wave physics rather than just the beam shape."
93,/image43.png,Mechanics (Forces & Motion),"The illustration presents a series of horizontal lines representing the {10} crystallographic orientation, which is a specific plane in the crystal that defines how atoms are arranged within the material. The dots along each line indicate atomic positions in the lattice. The distance D marks the spacing between adjacent crystallographic planes, which plays a key role in determining material properties such as density, mechanical strength, and electrical conductivity. This diagram highlights how the regular, repeating arrangement of atoms and the spacing between planes influence the overall behavior of crystalline materials."
94,/image44.png,Graphs,"The graph shows how the critical magnetic fields of a type-II superconductor change with temperature, plotted against the normalized temperature T/Tc. The lower critical field Bc₁ represents the magnetic field strength at which magnetic flux first begins to enter the material, marking the transition from perfect diamagnetism to the mixed (vortex) state. The upper critical field Bc₂ represents the maximum field at which superconductivity can exist; above this value, the material becomes normal. As the temperature approaches the critical temperature Tc, superconductivity weakens, causing both critical fields to decrease, especially Bc₂, which drops rapidly. This behavior reflects the reduced ability of the material to expel or sustain magnetic fields as thermal energy disrupts the superconducting state."
95,/image45.png,Other,"The image is an STM (scanning tunneling microscope) image of NbSe₂ taken at 1.8 K under an applied magnetic field of 1 tesla, with a spatial scale of 6000 angstroms. The evenly spaced atomic lattice is visible in the background. Superimposed on this lattice are dark spots that form a regular pattern, representing vortex states in the superconductor. Each dark spot corresponds to a magnetic vortex, where the external magnetic field locally penetrates the material and superconductivity is suppressed at the vortex core. Around each vortex, tiny circulating supercurrents flow, allowing the superconductor to accommodate the magnetic field while remaining superconducting elsewhere. This vortex pattern demonstrates how a type-II superconductor organizes itself under an applied magnetic field, balancing magnetic penetration with superconducting order."
96,/image46.png,Other,"As the electron count increases from 20 to 4000, a clear diffraction pattern made of interference fringes gradually emerges. At low electron counts, individual detection events appear scattered and random. As more electrons are recorded, bright regions form where electron waves interfere constructively, meaning their wave crests align and reinforce each other. Dark regions appear where destructive interference occurs, where wave crests and troughs cancel out. The gradual buildup of this pattern shows that each electron behaves like a wave as it travels, even though it is detected as a single particle. This experiment demonstrates the wave nature of electrons, a fundamental result of quantum mechanics, and shows how a well-defined interference pattern emerges from many individual quantum events."
97,/image47.png,Waves/Fields,"The diagram shows a double-slit experiment, where waves pass through two narrow slits and interfere at a detector located a distance L away. The angle φ represents the difference in path length from each slit to a point on the detector, which determines whether the waves arrive in phase or out of phase. Bright fringes appear where the path lengths differ by whole wavelengths, causing constructive interference, while dark fringes form where the waves cancel through destructive interference. Because the two slits act as coherent sources, this setup produces a stable interference pattern. The experiment demonstrates interference from two coherent wave sources and reveals the wave nature of particles such as photons or electrons, a key result in wave and quantum mechanics."
98,/image48.png,Graphs,"The representation consists of two waveforms plotted against a horizontal axis labeled “Position” ranging from 0 to 10, with the vertical axis labeled “y” indicating amplitude. The top waveform is drawn in red, depicting a sinusoidal pattern with an amplitude A = 1 and a wavelength λ = 1.2, while the bottom waveform, shown in black, also has an amplitude A = 1 but with a shorter wavelength λ = 1.0. A shorter wavelength means more wave cycles fit into the same spatial distance, which corresponds to a higher frequency. This is why the lower graph shows tighter oscillations compared to the wider spacing of peaks in the top graph. The inverse relationship between wavelength and frequency is a fundamental concept in physics and engineering, helping explain how waves behave in systems ranging from sound and light to signals and electromagnetic radiation."
99,/image49.png,Graphs,"The depiction consists of two line graphs representing wave functions over a common horizontal axis labeled “Position” ranging from 0 to 10. The top graph shows a single blue sine wave oscillating between 0 and 2, illustrating a simple periodic wave. The lower graph presents two input waves, a red sine wave and a black sine wave, that oscillate out of phase with each other representing individual wave inputs. When waves overlap, superposition occurs, meaning their amplitudes add together at each point. Where the peaks of the waves align, they reinforce each other, producing constructive interference, and where a peak aligns with a trough, they partially or fully cancel, producing destructive interference. The vertical axis labeled “Sum” shows the result of adding the two waves together point by point. The combined waveform demonstrates how complex wave patterns can form from simpler waves, highlighting a key principle of wave physics that applies to sound, light, and other wave phenomena."
100,/image50.png,Graphs,"The graph illustrates a mathematical function representing wave amplitudes relative to wave numbers. The x-axis, labeled “Wave number, k,” spans from 0 to 1.4, while the y-axis, marked “Individual Wave Amplitude,” ranges from 0 to 1. The curve, depicted in black, rises sharply to a peak at around k = 1 and then declines, forming a Gaussian distribution centered at this value. This indicates that k = 1 is the most probable wave number in the wave packet, meaning most of the wave components cluster around this value. The solid black dots align closely with the curve, emphasizing how well the function represents the distribution of wave components. Physically, this graph represents the distribution of wave numbers that make up a localized wave packet. The equation  𝑃(𝑘)=𝑒−100(𝑘−1)2/2 shows how tightly the wave numbers are grouped around the central value. The width of the Gaussian reflects the spread in wave number (Δk), which is directly related to uncertainty in the packet’s position in space. A narrower spread in k corresponds to a more uncertain position, while a wider spread leads to better spatial localization. This relationship connects the graph to the Heisenberg uncertainty principle and explains how localized waves arise from a range of wave numbers in real physical systems."
101,/transmittedForces.png,Waves/Fields,"The diagram illustrates the shift from direct forces across space to field-mediated interactions. It is a side-by-side schematic comparing two models of interaction. (a) Action-at-a-distance: a gray sphere at the top directly influences another object below via a single straight red arrow, implying an instantaneous force acting across empty space with no intermediary. (b) Field model: a gray source sphere produces an influence that extends into the surrounding space (indicated by the arrow originating from the source and acting through the region), representing a field that mediates the interaction rather than direct contact."
102,/angularVelocity.png,Mechanics (Forces & Motion),"Diagram illustrating angular velocity geometry for a rotating rigid body. An irregular teal shape represents the body. A fixed origin O is shown at lower left, with a position vector R pointing to a reference point O′ inside the body. From O′, a relative position vector rᵢ points to a particle P on the body, marked in red. The absolute position vector Rᵢ runs from O directly to P. The vectors emphasize the decomposition of a particle’s position into a reference point plus a relative displacement, as used when describing angular velocity and rotational motion."
103,/angularMomentumQuantized.png,Other,"This diagram illustrates a key idea from quantum mechanics: while the total angular momentum 𝐿 of a system has a fixed magnitude, its orientation in space is restricted. Only certain discrete values of the 𝑧-component,  𝐿𝑧=𝑚, are allowed, where  𝑚 is an integer. As a result, the angular momentum vector cannot point in arbitrary directions; instead, it occupies specific cones around the  𝑧-axis. The dashed circular paths represent precession of  𝐿 about the measurement axis. This quantization has no classical analog and reflects the fundamental role of measurement and symmetry in quantum systems, underpinning phenomena such as atomic spectra and magnetic resonance."
104,/conicalPendulum.png,Mechanics (Forces & Motion),"This diagram illustrates how circular motion can arise from a balance of forces. In a conical pendulum, the tension in the string splits into two components: the vertical component balances the weight 𝑚𝑔, keeping the mass at a constant height, while the horizontal component provides the centripetal force required for circular motion. Unlike a simple pendulum that swings back and forth, the mass here moves at constant speed in a circle, tracing out a cone in space. The angle 𝜃, radius 𝑟, and height ℎ, are directly related to the speed of the mass, showing how geometry and force balance determine rotational motion in classical mechanics."
105,/electricField.png,Waves/Fields,"Electric field diagram showing two opposite point charges, with a red dot on the left representing a positive charge and a blue dot on the right representing a negative charge. Gray field lines originate at the positive charge and curve through space to terminate at the negative charge, with arrows indicating the direction a positive test charge would move. The lines are more densely packed near the charges, indicating stronger electric fields in those regions, and spread out farther away where the field is weaker. This visualization emphasizes that electric forces are mediated by an electric field filling the surrounding space, not by direct contact between charges, and illustrates how the field’s direction and strength determine the motion and interaction of charged particles."
106,/electricField2.png,Waves/Fields,"Electric field diagram showing two identical positive point charges, represented by red dots positioned symmetrically along a horizontal line. Gray electric field lines radiate outward from each charge, with arrows indicating the direction of the field away from the charges. Between the two charges, the field lines curve away from the center rather than connecting, illustrating a region where the electric fields from each charge oppose one another and partially cancel. The symmetry of the pattern highlights that like charges repel, and the absence of field lines crossing the midpoint emphasizes the existence of a point (or region) of zero net electric field. This diagram reinforces the idea that electric fields superpose vectorially and that the resulting field geometry directly reflects the nature and arrangement of the source charges."
107,/electromagneticWave.png,Waves/Fields,"Diagram of a plane electromagnetic wave propagating to the right along the  𝑧-axis. The electric field 𝐸 is shown in red, oscillating sinusoidally in the vertical direction within the plane of the drawing, while the magnetic field 𝐵 is shown in blue, oscillating in an orthogonal plane perpendicular to the electric field. The red and blue waves are in phase, meaning their peaks and troughs occur at the same positions along 𝑧. A horizontal bracket labeled 𝜆 marks the wavelength, the distance between successive peaks of the fields. The diagram illustrates that electromagnetic waves consist of mutually perpendicular electric and magnetic fields that oscillate together and propagate through space without a material medium, with the direction of propagation given by the cross product 𝐸×𝐵."
108,/electrostaticShielding.png,Waves/Fields,"Diagram illustrating electrostatic shielding using a conducting shell. A positively charged object A (blue, marked with plus signs) is placed at the center of a hollow conducting shell B (yellow), which is connected to ground. Negative charges appear on the inner surface of the conductor, while excess charge flows to ground, leaving the outer surface electrically neutral. A separate object C outside the shell experiences no influence from the charge inside, showing that the electric field within the conducting material is zero. This diagram demonstrates how conductors redistribute charge to cancel internal electric fields, explaining why sensitive equipment can be shielded from external electric influences using grounded conductive enclosures (Faraday cages)."
109,/feedbackLoop.png,Waves/Fields,"A control-system block diagram showing a feedback loop. A signal enters from the left and passes through a summing junction (marked with a plus sign), then splits into two paths. The upper (forward) path includes a gain block labeled 0.5 followed by a block labeled 𝑠, representing system dynamics in the Laplace domain. The signal then reaches a second summing junction on the right, producing the system output. From this output, a feedback path loops downward and back to the first summing junction, passing through a gain block labeled  𝛼 and an integrator block labeled 1/𝑠. The diagram illustrates how feedback modifies system behavior: the integrator introduces memory and accumulation over time, while the gains scale the signals. Overall, the circuit represents a closed-loop system where the output influences the input, a key idea in control theory used to improve stability, accuracy, and dynamic response."
110,/CMOSLogic.png,Waves/Fields,"A CMOS logic design diagram showing the translation of a Boolean expression into complementary transistor networks. At the top, the logic function 𝑓=((𝑥ˉ1⋅𝑥ˉ3)+𝑥ˉ4)⋅𝑥ˉ2  is annotated to indicate how series and parallel connections map differently in the pull-up network (PUN) and pull-down network (PDN): series connections in one correspond to parallel connections in the other, reflecting De Morgan’s laws. Below, the transistor-level schematic shows the PUN (pMOS transistors) connected to 𝑉𝐷𝐷  and the PDN (nMOS transistors) connected to ground, with inputs 𝑥1,𝑥2,𝑥3,𝑥4 driving the gates. The output 𝑣𝑓 is taken at the junction between the two networks. This diagram illustrates a core CMOS principle: the PUN implements the logic function that pulls the output high when the Boolean expression is true, while the PDN implements its logical complement to pull the output low, ensuring correct logic behavior, low static power consumption, and robust digital operation."
111,/discreteTime.png,Waves/Fields,"Simple discrete-time signal-processing block diagram showing an input signal 𝑥(𝑛) entering a system, represented by a rectangular block, and producing an output signal 𝑦(𝑛). The notation 𝑛 indicates that both signals are indexed in discrete time. This diagram conveys the fundamental abstraction used in signal processing and systems theory: a system transforms an input sequence into an output sequence according to some rule or operation (such as filtering, scaling, or delaying), without requiring the internal details of the system to be shown."
112,/pulleySystem.png,Mechanics (Forces & Motion),"Free-body diagram of a pulley system with a mass 𝑀 suspended from a rope passing over a pulley. The pulley experiences an upward support force labeled 𝐹𝑇 at its axle, while two downward tension forces, 𝑇1 and 𝑇2, act on either side of the rope where it contacts the pulley. The mass 𝑀 hangs below, pulling downward due to gravity. This diagram highlights how tension forces act on the pulley from both rope segments and how the net upward force at the support balances these tensions, illustrating force transmission and equilibrium in ideal pulley systems."
113,/staticsForce.png,Mechanics (Forces & Motion),"Hand-drawn statics force diagram of a horizontal beam supported at two points, 𝐴 on the left and 𝐶 on the right. At point 𝐴, an applied force 𝑃 acts at an angle 𝜃 above the beam, resolved into horizontal and vertical components labeled 𝑃𝑥 and 𝑃𝑦. At point 𝐶, a tension force 𝑇 acts upward and to the left at an angle of 30 degrees to the beam. Two downward forces, 𝑊1 and 𝑊2, represent loads acting at different positions along the beam. This diagram illustrates how angled forces are decomposed into components and how equilibrium in statics requires the sum of forces and moments to be zero, allowing unknown reactions and tensions to be solved systematically."
114,/dielectricSphere.png,Waves/Fields,"Diagram showing a dielectric sphere placed in a uniform external electric field. A light-blue circular region represents the dielectric material, while red field lines depict the electric field passing through and around it. Far from the sphere, the field lines are straight and evenly spaced, indicating a uniform field. As the field enters the dielectric, the lines bend and become distorted, showing how the material polarizes in response to the applied field. This distortion reflects the alignment of bound charges within the dielectric, which partially oppose the external field and reduce its strength inside the sphere. The diagram illustrates a key concept in electromagnetism: dielectric materials do not block electric fields like conductors, but instead modify the field through polarization, altering the field distribution both inside and around the object."
115,/LTISystem.png,Waves/Fields,"Block diagram illustrating the frequency-domain representation of a linear time-invariant (LTI) system. The input signal 𝑥 passes through a system with impulse response ℎ to produce the output  𝑦. Blue arrows indicate transformation to the frequency domain using the continuous-time Fourier transform (CTFT), where the system is represented by its transfer function 𝐻(𝜔). The output spectrum is obtained by multiplying the input spectrum by 𝐻(𝜔), and the inverse CTFT (CTFT−1) returns the result to the time domain. This diagram emphasizes the key idea that convolution in time corresponds to multiplication in frequency, greatly simplifying the analysis and design of signals and systems."
116,/vectorAddition.png,Other,"Vector addition diagram illustrating the parallelogram method. Two vectors, 𝐴⃗ and 𝐵, are drawn from a common starting point, with 𝐴 angled upward and 𝐵 extending horizontally. Copies of these vectors complete a parallelogram, showing how their directions and magnitudes combine geometrically. The red diagonal arrow labeled 𝐴⃗ + 𝐵 represents the resultant vector obtained by adding 𝐴 and 𝐵. An angle 𝜃 between one vector and the horizontal reference axis is marked, emphasizing how vector direction affects the resultant. This diagram conveys the core idea that vectors add according to both magnitude and direction, a fundamental concept used in physics to combine forces, velocities, displacements, and other vector quantities."
117,/logicDiagram.png,Other,"A digital logic diagram demonstrating how unsigned binary addition scales from small to larger bit widths using full adders as modular building blocks. At the top, a three-bit unsigned number is shown, where input bits 𝑧2, 𝑧1, and 𝑧0 are applied to a full adder with inputs 𝑥, 𝑦, and carry-in 𝑐_𝑖𝑛. The full adder produces a sum bit 𝑠 and a carry-out 𝑐_𝑜𝑢𝑡, and together these signals represent the binary addition result for that stage. The lower portion generalizes this idea to a six-bit unsigned number (𝑧0,𝑧1,𝑧2,𝑧3,𝑧4,𝑧5). The bits are divided into groups and processed by multiple full adders operating in parallel and in sequence. Intermediate sum outputs 𝑠1 and 𝑠2, along with carry signals 𝑐_𝑜𝑢𝑡1 and 𝑐_𝑜𝑢𝑡2, are passed into a larger 2-bit adder built from two additional full adders. Carry signals propagate through the network, ultimately producing final result bits 𝑅1 and 𝑅2 and a final carry-out that indicates overflow. This diagram emphasizes a foundational principle of digital system design: complex arithmetic operations are constructed by systematically connecting simple, well-defined components. By chaining full adders and managing carry propagation, designers can implement reliable multi-bit addition, a core operation underlying processors, arithmetic logic units (ALUs), and digital computation more broadly."
118,/voltageCurrent.png,Other,"Graph titled “Voltage vs Current of Four Different Circuits” showing the relationship between voltage (vertical axis, in volts) and current (horizontal axis, in milliamps) for four separate electrical circuits. Each circuit’s data points form a straight line, indicating a linear voltage–current relationship consistent with Ohm’s law. Dotted trendlines are drawn through each set of points, with equations labeled above them; the slope of each line represents the effective resistance of that circuit. Circuit 2 has the steepest slope, meaning it has the highest resistance (a small increase in current requires a large increase in voltage), while Circuit 4 has the shallowest slope, indicating the lowest resistance. Circuits 1 and 3 fall between these extremes. The small intercept values near zero show minimal offset or measurement error. Overall, the graph illustrates how different circuit resistances affect the voltage required to drive a given current, reinforcing the idea that resistance determines the proportionality between voltage and current in linear, resistive systems."
119,/voltageCurrent2.png,Graphs,"Graph titled “Voltage vs Current of Four Different Circuits” plotting current (vertical axis, in milliamps) as a function of voltage (horizontal axis, in volts) for four different electrical circuits. Each circuit’s measured data points lie along a straight line, and dotted linear trendlines with equations are shown, indicating a proportional relationship between voltage and current consistent with Ohm’s law. The slope of each line represents the circuit’s electrical conductance (the inverse of resistance): steeper slopes correspond to lower resistance, while shallower slopes indicate higher resistance. Circuit 4 shows the steepest slope and therefore the lowest resistance, whereas Circuit 2 has the smallest slope, indicating the highest resistance. Circuits 1 and 3 fall in between. The near-zero intercepts suggest minimal offset or experimental error. Overall, the graph reinforces how different circuit resistances affect how much current flows for a given applied voltage and demonstrates the linear behavior of resistive components."
120,/ionizationAtomic.png,Graphs,"Graph showing first ionization energy versus atomic number for the elements, with ionization energy (in electron volts) on the vertical axis and atomic number on the horizontal axis. The data form a repeating, jagged pattern rather than a smooth curve. Sharp peaks occur at the noble gases—labeled Helium, Neon, Argon, Krypton, Xenon, and Radon—indicating very high ionization energies due to their stable, filled electron shells. Immediately after each peak, the ionization energy drops sharply at the alkali metals (not labeled), reflecting how easily a single outer electron can be removed when a new shell begins. Within each period, ionization energy generally increases as atomic number increases, due to increasing nuclear charge pulling electrons more tightly toward the nucleus, with small dips caused by electron shielding and subshell effects. Overall, the graph visually demonstrates the periodic nature of atomic structure, showing how electron configuration and shell filling govern the energy required to remove an electron from an atom."
121,/sequentialLogic.png,Other,"A sequential logic circuit showing a feedback-based storage element. An input signal 𝐷 enters an XOR gate, whose other input is fed back from the output 𝑄 of a T flip-flop. The output of the XOR gate drives the 𝑇 input of the flip-flop, while a clock signal controls when the flip-flop updates its state. The flip-flop provides complementary outputs 𝑄 and 𝑄‾​, with 𝑄 fed back to the XOR gate. This diagram illustrates how feedback and clocked storage combine to create state-dependent behavior: on each clock edge, the flip-flop toggles or holds its value depending on the relationship between the input 𝐷 and the current state 𝑄. Such configurations are fundamental in digital systems for implementing registers, counters, and state machines, where past outputs influence future behavior."
122,/surfaceTension.png,Mechanics (Forces & Motion),"Diagram illustrating surface tension forces on a floating object. A black spherical object rests in a shallow depression on a blue water surface. The downward arrow labeled 𝐹𝑤 represents the object’s weight due to gravity. On either side of the object, angled upward arrows labeled 𝐹𝑠 represent surface tension forces exerted by the stretched water surface at the contact line. These forces act tangentially along the water surface and have upward components that help support the object against gravity. The curved shape of the water surface shows how surface tension causes the liquid to deform, creating a restoring force. This diagram demonstrates how surface tension can partially or fully balance an object’s weight, allowing small objects to float even if they are denser than water."
123,/blockDiagram.png,Mechanics (Forces & Motion),"Diagram of a block on an inclined plane illustrating force decomposition and friction. A rectangular block rests on a plane inclined at an angle 𝜃 to the horizontal. The downward arrow labeled weight represents the gravitational force acting on the block. This weight is resolved into two components: 𝑤sin⁡𝜃, acting parallel to the incline and tending to pull the block down the slope, and 𝑤cos⁡𝜃, acting perpendicular to the surface and pressing the block into the plane. An arrow labeled friction points up the slope, opposing the direction of potential motion. The angle 𝜃 is marked at the base of the incline. This diagram demonstrates how analyzing forces along and perpendicular to an inclined surface simplifies the application of Newton’s laws, showing how friction and gravity determine whether the block remains at rest, slides at constant speed, or accelerates down the plane."
124,/blockDiagram2.png,Mechanics (Forces & Motion),"Detailed free-body diagram of a block on an inclined plane showing all force vectors acting at the block’s center of mass. The plane is inclined at an angle 𝛼, with base 𝑏 and height ℎ. The downward vertical arrow 𝐹𝐺 represents the gravitational force (weight). This force is resolved into two components: 𝐹_𝐺,𝑁, acting perpendicular to the surface and pressing the block into the incline, and 𝐹_𝐺,𝐻, acting parallel to the surface and tending to pull the block down the slope. An upward arrow perpendicular to the plane labeled 𝐹𝑁 represents the normal force exerted by the surface on the block. A blue arrow 𝐹𝑅 acts along the plane, representing friction or a resistive force opposing motion. The diagram illustrates how gravity is decomposed relative to the inclined surface and how the normal and frictional forces interact to determine the block’s equilibrium or motion, providing a clear visual framework for applying Newton’s laws on inclined planes."
